song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mr. Saxobeat,Alexandra Stan,66,0.72,0.925,4.0,-4.165,0.0,0.0511,0.0276,0.000238,0.14,0.781,127.004,audio_features,2ZAx6NDhX2yE5aL5ueEQgY,spotify:track:2ZAx6NDhX2yE5aL5ueEQgY,https://api.spotify.com/v1/tracks/2ZAx6NDhX2yE5aL5ueEQgY,https://api.spotify.com/v1/audio-analysis/2ZAx6NDhX2yE5aL5ueEQgY,195105.0,4.0
Please Don't Go,Mike Posner,69,0.699,0.882,4.0,-3.896,0.0,0.0311,0.00296,0.0544,0.13,0.657,120.016,audio_features,6jg5SRvdGxvJ0DzNV0UqEK,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/tracks/6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/audio-analysis/6jg5SRvdGxvJ0DzNV0UqEK,196813.0,4.0
Titanium (feat. Sia),David Guetta & Sia,70,0.604,0.788,0.0,-3.673,0.0,0.103,0.0678,0.153,0.127,0.301,126.06,audio_features,0lHAMNU8RGiIObScrsRgmP,spotify:track:0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/tracks/0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/audio-analysis/0lHAMNU8RGiIObScrsRgmP,245040.0,4.0
Till the World Ends,Britney Spears,66,0.693,0.705,8.0,-5.747,1.0,0.0665,0.0228,0.0,0.202,0.45,131.951,audio_features,38iU2jg98IZZEIJPrP7aWD,spotify:track:38iU2jg98IZZEIJPrP7aWD,https://api.spotify.com/v1/tracks/38iU2jg98IZZEIJPrP7aWD,https://api.spotify.com/v1/audio-analysis/38iU2jg98IZZEIJPrP7aWD,237947.0,4.0
Tonight Tonight,Hot Chelle Rae,74,0.686,0.783,4.0,-4.977,1.0,0.119,0.0764,0.0,0.163,0.814,99.978,audio_features,2i0AUcEnsDm3dsqLrFWUCq,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,https://api.spotify.com/v1/tracks/2i0AUcEnsDm3dsqLrFWUCq,https://api.spotify.com/v1/audio-analysis/2i0AUcEnsDm3dsqLrFWUCq,200467.0,4.0
If I Die Young,The Band Perry,70,0.606,0.497,4.0,-6.611,1.0,0.0277,0.348,0.0,0.275,0.362,130.739,audio_features,4u26EevCNXMhlvE1xFBJwX,spotify:track:4u26EevCNXMhlvE1xFBJwX,https://api.spotify.com/v1/tracks/4u26EevCNXMhlvE1xFBJwX,https://api.spotify.com/v1/audio-analysis/4u26EevCNXMhlvE1xFBJwX,222773.0,4.0
Rocketeer,Far East Movement & Ryan Tedder & Ruff Loaderz,70,0.664,0.845,4.0,-6.115,0.0,0.0461,0.181,0.0,0.267,0.357,96.005,audio_features,45sDIKapDyxPl307QpEAwl,spotify:track:45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/tracks/45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/audio-analysis/45sDIKapDyxPl307QpEAwl,211253.0,4.0
Wishing On a Star,The Cover Girls,28,0.353,0.544,5.0,-10.812,0.0,0.0331,0.581,9.95e-05,0.0835,0.48,88.898,audio_features,7EE5va6hu88TSdtbXrEl0J,spotify:track:7EE5va6hu88TSdtbXrEl0J,https://api.spotify.com/v1/tracks/7EE5va6hu88TSdtbXrEl0J,https://api.spotify.com/v1/audio-analysis/7EE5va6hu88TSdtbXrEl0J,281200.0,4.0
Pretty Girl Rock,Keri Hilson,67,0.666,0.87,11.0,-5.004,0.0,0.246,0.203,0.0,0.0851,0.9,160.014,audio_features,2Adn2LNgkHMH5TelQVAu4n,spotify:track:2Adn2LNgkHMH5TelQVAu4n,https://api.spotify.com/v1/tracks/2Adn2LNgkHMH5TelQVAu4n,https://api.spotify.com/v1/audio-analysis/2Adn2LNgkHMH5TelQVAu4n,243920.0,4.0
Lighters,Bad Meets Evil & Bruno Mars,71,0.676,0.695,0.0,-8.327,1.0,0.245,0.352,0.0,0.119,0.144,90.268,audio_features,5zpDHEU12zATwLGvozxPw2,spotify:track:5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/tracks/5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/audio-analysis/5zpDHEU12zATwLGvozxPw2,303813.0,4.0
6 Foot 7 Foot,Lil Wayne & Cory Gunz,70,0.364,0.752,2.0,-5.429,1.0,0.304,0.0007,0.0,0.318,0.606,79.119,audio_features,5Qy6a5KzM4XlRxsNcGYhgH,spotify:track:5Qy6a5KzM4XlRxsNcGYhgH,https://api.spotify.com/v1/tracks/5Qy6a5KzM4XlRxsNcGYhgH,https://api.spotify.com/v1/audio-analysis/5Qy6a5KzM4XlRxsNcGYhgH,248587.0,4.0
Roll Up,Wiz Khalifa,63,0.523,0.805,3.0,-5.473,1.0,0.192,0.0524,0.0,0.0914,0.602,125.358,audio_features,53DB6LJV9B8sz0p1s6tlGS,spotify:track:53DB6LJV9B8sz0p1s6tlGS,https://api.spotify.com/v1/tracks/53DB6LJV9B8sz0p1s6tlGS,https://api.spotify.com/v1/audio-analysis/53DB6LJV9B8sz0p1s6tlGS,227773.0,5.0
Moment 4 Life,Nicki Minaj & Drake,73,0.475,0.882,11.0,-3.883,1.0,0.351,0.406,0.0,0.241,0.369,98.001,audio_features,1ia019RqDK2o4QiANR1Dyn,spotify:track:1ia019RqDK2o4QiANR1Dyn,https://api.spotify.com/v1/tracks/1ia019RqDK2o4QiANR1Dyn,https://api.spotify.com/v1/audio-analysis/1ia019RqDK2o4QiANR1Dyn,279307.0,4.0
Don't Hold Your Breath,Nicole Scherzinger,62,0.66,0.797,5.0,-6.096,0.0,0.0262,0.00646,0.000108,0.187,0.674,110.955,audio_features,7pAq1IXYZpL42HchCminu6,spotify:track:7pAq1IXYZpL42HchCminu6,https://api.spotify.com/v1/tracks/7pAq1IXYZpL42HchCminu6,https://api.spotify.com/v1/audio-analysis/7pAq1IXYZpL42HchCminu6,197440.0,4.0
Best Thing I Never Had,Beyoncé,70,0.546,0.649,6.0,-4.056,1.0,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,audio_features,3lBRNqXjPp2j3JMTCXDTNO,spotify:track:3lBRNqXjPp2j3JMTCXDTNO,https://api.spotify.com/v1/tracks/3lBRNqXjPp2j3JMTCXDTNO,https://api.spotify.com/v1/audio-analysis/3lBRNqXjPp2j3JMTCXDTNO,253747.0,4.0
Who Says,Selena Gomez & The Scene,77,0.682,0.927,4.0,-2.915,1.0,0.0479,0.0843,0.0,0.149,0.744,101.019,audio_features,3TcL0dyCMyr0kyTTc4NLgI,spotify:track:3TcL0dyCMyr0kyTTc4NLgI,https://api.spotify.com/v1/tracks/3TcL0dyCMyr0kyTTc4NLgI,https://api.spotify.com/v1/audio-analysis/3TcL0dyCMyr0kyTTc4NLgI,195613.0,4.0
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta & Flo Rida & Nicki Minaj,66,0.664,0.872,3.0,-3.117,1.0,0.0396,0.0306,0.0,0.228,0.555,129.873,audio_features,63rbP24OzfaQCJjsHWZXnY,spotify:track:63rbP24OzfaQCJjsHWZXnY,https://api.spotify.com/v1/tracks/63rbP24OzfaQCJjsHWZXnY,https://api.spotify.com/v1/audio-analysis/63rbP24OzfaQCJjsHWZXnY,210093.0,4.0
Mr. Know It All,Kelly Clarkson,48,0.676,0.807,5.0,-5.131,1.0,0.029,0.0284,0.0,0.0701,0.443,95.956,audio_features,7uRznL3LcuazKpwCTpDltz,spotify:track:7uRznL3LcuazKpwCTpDltz,https://api.spotify.com/v1/tracks/7uRznL3LcuazKpwCTpDltz,https://api.spotify.com/v1/audio-analysis/7uRznL3LcuazKpwCTpDltz,232520.0,4.0
