song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
PROVENZA,KAROL G,94,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,audio_features,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,210200,4
PUNTO 40,Rauw Alejandro & Baby Rasta,83,0.873,0.826,0,-0.722,1,0.0876,0.00127,0.0361,0.311,0.201,106.972,audio_features,2TDyyEBasw10wu5Uh94bR1,spotify:track:2TDyyEBasw10wu5Uh94bR1,https://api.spotify.com/v1/tracks/2TDyyEBasw10wu5Uh94bR1,https://api.spotify.com/v1/audio-analysis/2TDyyEBasw10wu5Uh94bR1,190654,4
El Pañuelo,Romeo Santos & ROSALÍA,81,0.839,0.71,8,-3.823,1,0.0409,0.0534,0,0.283,0.661,129.998,audio_features,3c7H5RL3H6jFgDTbMxGBe9,spotify:track:3c7H5RL3H6jFgDTbMxGBe9,https://api.spotify.com/v1/tracks/3c7H5RL3H6jFgDTbMxGBe9,https://api.spotify.com/v1/audio-analysis/3c7H5RL3H6jFgDTbMxGBe9,234707,4
Vista Al Mar,Quevedo,90,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,audio_features,7iwJOi3hlMqZt6pj1sQOBj,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,https://api.spotify.com/v1/tracks/7iwJOi3hlMqZt6pj1sQOBj,https://api.spotify.com/v1/audio-analysis/7iwJOi3hlMqZt6pj1sQOBj,180673,4
Aeropuerto,Camilo,78,0.69,0.58,0,-4.395,1,0.199,0.0328,0,0.328,0.708,197.635,audio_features,4v7riPZWyAclrOfUSwD0zp,spotify:track:4v7riPZWyAclrOfUSwD0zp,https://api.spotify.com/v1/tracks/4v7riPZWyAclrOfUSwD0zp,https://api.spotify.com/v1/audio-analysis/4v7riPZWyAclrOfUSwD0zp,177627,4
LOS APARATOS,El Alfa & Noriel & Trueno,83,0.868,0.878,1,-3.294,1,0.038,0.0509,0.00052,0.0857,0.899,112.987,audio_features,4SSbtLDkepeOHAckM1FCBP,spotify:track:4SSbtLDkepeOHAckM1FCBP,https://api.spotify.com/v1/tracks/4SSbtLDkepeOHAckM1FCBP,https://api.spotify.com/v1/audio-analysis/4SSbtLDkepeOHAckM1FCBP,232843,4
Brother,Anuel AA,78,0.592,0.625,10,-6.203,0,0.2,0.618,9.71e-05,0.287,0.555,166.018,audio_features,3M23T72K5eqHI2GzdFMMHE,spotify:track:3M23T72K5eqHI2GzdFMMHE,https://api.spotify.com/v1/tracks/3M23T72K5eqHI2GzdFMMHE,https://api.spotify.com/v1/audio-analysis/3M23T72K5eqHI2GzdFMMHE,209579,4
No Se Va - En Vivo,Grupo Frontera,82,0.594,0.527,0,-9.335,1,0.0335,0.121,0,0.234,0.692,172.712,audio_features,5JhUm1v5AbI5Yu6jLKCPRO,spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,https://api.spotify.com/v1/tracks/5JhUm1v5AbI5Yu6jLKCPRO,https://api.spotify.com/v1/audio-analysis/5JhUm1v5AbI5Yu6jLKCPRO,194019,4
Feliz Cumpleaños Ferxxo,Feid,87,0.87,0.55,5,-5.537,1,0.0722,0.102,0,0.293,0.566,95.019,audio_features,3kUq4sBcmxhnOtNysZ9yrp,spotify:track:3kUq4sBcmxhnOtNysZ9yrp,https://api.spotify.com/v1/tracks/3kUq4sBcmxhnOtNysZ9yrp,https://api.spotify.com/v1/audio-analysis/3kUq4sBcmxhnOtNysZ9yrp,156400,4
Vapor,Wisin & Yandel & Rauw Alejandro,74,0.803,0.779,11,-4.449,0,0.0694,0.066,2.23e-05,0.111,0.317,94.009,audio_features,4yXBfJAPsDZjpjMEp9NyjT,spotify:track:4yXBfJAPsDZjpjMEp9NyjT,https://api.spotify.com/v1/tracks/4yXBfJAPsDZjpjMEp9NyjT,https://api.spotify.com/v1/audio-analysis/4yXBfJAPsDZjpjMEp9NyjT,208895,4
Inseparables,Yahritza Y Su Esencia & Ivan Cornejo,69,0.676,0.441,3,-6.929,1,0.0253,0.726,0,0.0884,0.515,140.091,audio_features,57GWBz1UtT6iei1jrbkovI,spotify:track:57GWBz1UtT6iei1jrbkovI,https://api.spotify.com/v1/tracks/57GWBz1UtT6iei1jrbkovI,https://api.spotify.com/v1/audio-analysis/57GWBz1UtT6iei1jrbkovI,171724,3
El Que Espera,Anitta & Maluma,79,0.825,0.758,9,-1.73,0,0.238,0.0895,0,0.0661,0.828,176.059,audio_features,2oNSHvGBGZIrZouRAA1eaX,spotify:track:2oNSHvGBGZIrZouRAA1eaX,https://api.spotify.com/v1/tracks/2oNSHvGBGZIrZouRAA1eaX,https://api.spotify.com/v1/audio-analysis/2oNSHvGBGZIrZouRAA1eaX,170397,4
MEMORIAS,Mora & Jhayco,86,0.771,0.707,2,-6.404,0,0.055,0.389,0,0.0745,0.317,127.963,audio_features,2hLXUbsOU9cDb9RFva9FYr,spotify:track:2hLXUbsOU9cDb9RFva9FYr,https://api.spotify.com/v1/tracks/2hLXUbsOU9cDb9RFva9FYr,https://api.spotify.com/v1/audio-analysis/2hLXUbsOU9cDb9RFva9FYr,228750,4
Te Felicito,Shakira & Rauw Alejandro,91,0.695,0.636,5,-4.654,1,0.317,0.234,0,0.081,0.575,174.14,audio_features,2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/audio-analysis/2rurDawMfoKP4uHyb2kJBt,172235,4
NO HAY LEY,Kali Uchis,76,0.713,0.617,9,-6.247,1,0.0372,0.077,0,0.354,0.416,122.036,audio_features,5enNYN3hDG4Dsey9WsF6TJ,spotify:track:5enNYN3hDG4Dsey9WsF6TJ,https://api.spotify.com/v1/tracks/5enNYN3hDG4Dsey9WsF6TJ,https://api.spotify.com/v1/audio-analysis/5enNYN3hDG4Dsey9WsF6TJ,157000,4
Sin Fin,Romeo Santos & Justin Timberlake,76,0.757,0.856,0,-4.494,1,0.0605,0.192,0,0.065,0.764,127.993,audio_features,3qaHzxjNtFU7QiEuhGx70x,spotify:track:3qaHzxjNtFU7QiEuhGx70x,https://api.spotify.com/v1/tracks/3qaHzxjNtFU7QiEuhGx70x,https://api.spotify.com/v1/audio-analysis/3qaHzxjNtFU7QiEuhGx70x,234667,4
Ojos Marrones,Lasso,87,0.809,0.649,8,-4.433,0,0.0416,0.0407,0,0.145,0.72,120.014,audio_features,7gwT3HGL84vF7bgtwL1N88,spotify:track:7gwT3HGL84vF7bgtwL1N88,https://api.spotify.com/v1/tracks/7gwT3HGL84vF7bgtwL1N88,https://api.spotify.com/v1/audio-analysis/7gwT3HGL84vF7bgtwL1N88,198520,4
Party en el Barrio (feat. Duki),Paulo Londra & Duki,84,0.527,0.665,10,-7.108,1,0.164,0.0168,1.29e-06,0.324,0.546,135.026,audio_features,5GF0X7GdNmnouKcdhhRmtm,spotify:track:5GF0X7GdNmnouKcdhhRmtm,https://api.spotify.com/v1/tracks/5GF0X7GdNmnouKcdhhRmtm,https://api.spotify.com/v1/audio-analysis/5GF0X7GdNmnouKcdhhRmtm,236143,4
AUTOMÁTICO,Maria Becerra,85,0.68,0.808,10,-3.854,0,0.224,0.0911,2.23e-06,0.205,0.868,176.131,audio_features,3Ne5uYDFzHEFYAPbaBMIck,spotify:track:3Ne5uYDFzHEFYAPbaBMIck,https://api.spotify.com/v1/tracks/3Ne5uYDFzHEFYAPbaBMIck,https://api.spotify.com/v1/audio-analysis/3Ne5uYDFzHEFYAPbaBMIck,175317,4
El Último Beso,TINI & Tiago PZK,82,0.647,0.662,10,-2.955,1,0.125,0.305,0,0.359,0.693,113.28,audio_features,1gYtMKmICjH8KQG3MheNJt,spotify:track:1gYtMKmICjH8KQG3MheNJt,https://api.spotify.com/v1/tracks/1gYtMKmICjH8KQG3MheNJt,https://api.spotify.com/v1/audio-analysis/1gYtMKmICjH8KQG3MheNJt,197647,5
Efecto,Bad Bunny,96,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,audio_features,5Eax0qFko2dh7Rl2lYs3bx,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx,213061,4
