song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Mildred, Won't You Behave?",Bill Elliott Swing Orchestra,32,0.69,0.519,0,-8.143,1,0.0569,0.688,0.0,0.357,0.906,96.176,audio_features,50QVCLA4Qcw04DMKiJtc5M,spotify:track:50QVCLA4Qcw04DMKiJtc5M,https://api.spotify.com/v1/tracks/50QVCLA4Qcw04DMKiJtc5M,https://api.spotify.com/v1/audio-analysis/50QVCLA4Qcw04DMKiJtc5M,223635,4
Pink Cadillac,Indigo Swing,31,0.707,0.535,8,-10.044,1,0.0517,0.744,0.00161,0.132,0.872,88.506,audio_features,4mXK4UWo8DTzJvoNsLOAOU,spotify:track:4mXK4UWo8DTzJvoNsLOAOU,https://api.spotify.com/v1/tracks/4mXK4UWo8DTzJvoNsLOAOU,https://api.spotify.com/v1/audio-analysis/4mXK4UWo8DTzJvoNsLOAOU,142000,4
Swing Baby!,Big Rude Jake,31,0.573,0.849,2,-4.995,0,0.343,0.555,0.000179,0.132,0.73,205.937,audio_features,19ckX4sy4F87WkxwbKcksC,spotify:track:19ckX4sy4F87WkxwbKcksC,https://api.spotify.com/v1/tracks/19ckX4sy4F87WkxwbKcksC,https://api.spotify.com/v1/audio-analysis/19ckX4sy4F87WkxwbKcksC,202467,4
Knockin' At Your Door,The New Morty Show & Vise Grip,31,0.631,0.883,0,-4.133,1,0.0539,0.298,0.000978,0.0624,0.85,107.798,audio_features,7GFHztqce85FfPw6da1q5M,spotify:track:7GFHztqce85FfPw6da1q5M,https://api.spotify.com/v1/tracks/7GFHztqce85FfPw6da1q5M,https://api.spotify.com/v1/audio-analysis/7GFHztqce85FfPw6da1q5M,169720,4
Go Daddy O,Big Bad Voodoo Daddy,35,0.611,0.83,5,-5.981,0,0.0604,0.145,0.204,0.0974,0.818,108.225,audio_features,2q0gGzRNpYMYjXmMFidK0H,spotify:track:2q0gGzRNpYMYjXmMFidK0H,https://api.spotify.com/v1/tracks/2q0gGzRNpYMYjXmMFidK0H,https://api.spotify.com/v1/audio-analysis/2q0gGzRNpYMYjXmMFidK0H,192893,4
Simple Things,The Jive Aces,30,0.57,0.58,1,-8.732,0,0.21,0.609,0.0,0.0414,0.773,185.663,audio_features,19HwojO9ZITydllvtcjVw8,spotify:track:19HwojO9ZITydllvtcjVw8,https://api.spotify.com/v1/tracks/19HwojO9ZITydllvtcjVw8,https://api.spotify.com/v1/audio-analysis/19HwojO9ZITydllvtcjVw8,164505,4
The Ding Dong Daddy of the D Car Line,Cherry Poppin' Daddies,31,0.608,0.854,5,-7.935,0,0.0776,0.0734,0.0126,0.0745,0.489,109.483,audio_features,4uxRacg0PBqOIan3lhJ3Xt,spotify:track:4uxRacg0PBqOIan3lhJ3Xt,https://api.spotify.com/v1/tracks/4uxRacg0PBqOIan3lhJ3Xt,https://api.spotify.com/v1/audio-analysis/4uxRacg0PBqOIan3lhJ3Xt,214267,4
Come On-A-My House,Big Kahuna and the Copa Cat Pack,30,0.437,0.718,0,-7.089,1,0.184,0.458,0.00103,0.334,0.848,207.585,audio_features,6Ts8NAuSSmfaXQyGFovDCe,spotify:track:6Ts8NAuSSmfaXQyGFovDCe,https://api.spotify.com/v1/tracks/6Ts8NAuSSmfaXQyGFovDCe,https://api.spotify.com/v1/audio-analysis/6Ts8NAuSSmfaXQyGFovDCe,130160,4
Swing Sweet Pussycat,The Atomic Fireballs,30,0.594,0.965,9,-3.143,0,0.0952,0.00325,0.0,0.294,0.567,102.593,audio_features,5EK0gbkVLrLtOvwXy7PWEW,spotify:track:5EK0gbkVLrLtOvwXy7PWEW,https://api.spotify.com/v1/tracks/5EK0gbkVLrLtOvwXy7PWEW,https://api.spotify.com/v1/audio-analysis/5EK0gbkVLrLtOvwXy7PWEW,189467,4
The Joint is Jumpin',Ray Gelato,30,0.725,0.647,5,-7.576,1,0.0755,0.271,0.0,0.0866,0.699,122.716,audio_features,3LrDcOzd4gpkXanl4Xeqf1,spotify:track:3LrDcOzd4gpkXanl4Xeqf1,https://api.spotify.com/v1/tracks/3LrDcOzd4gpkXanl4Xeqf1,https://api.spotify.com/v1/audio-analysis/3LrDcOzd4gpkXanl4Xeqf1,165933,4
Do The Pup,Steve Lucky & The Rhumba Bums,30,0.541,0.567,2,-11.134,1,0.0631,0.74,0.000461,0.157,0.644,143.623,audio_features,3A7lDcfRJu8Hv9c1U5DZG4,spotify:track:3A7lDcfRJu8Hv9c1U5DZG4,https://api.spotify.com/v1/tracks/3A7lDcfRJu8Hv9c1U5DZG4,https://api.spotify.com/v1/audio-analysis/3A7lDcfRJu8Hv9c1U5DZG4,250840,4
Solid Gold Cadillac,Mitch Woods and His Rocket 88‘S,30,0.676,0.531,9,-11.574,0,0.0522,0.264,1.25e-05,0.119,0.74,92.008,audio_features,1oztW0EFjpj4WSHEf6Jt0b,spotify:track:1oztW0EFjpj4WSHEf6Jt0b,https://api.spotify.com/v1/tracks/1oztW0EFjpj4WSHEf6Jt0b,https://api.spotify.com/v1/audio-analysis/1oztW0EFjpj4WSHEf6Jt0b,182627,4
Mambo Swing,Big Bad Voodoo Daddy,35,0.618,0.916,9,-6.288,0,0.0403,0.0425,0.019,0.0502,0.902,111.151,audio_features,54B4Cfi9Q4q17tDrs9YFzW,spotify:track:54B4Cfi9Q4q17tDrs9YFzW,https://api.spotify.com/v1/tracks/54B4Cfi9Q4q17tDrs9YFzW,https://api.spotify.com/v1/audio-analysis/54B4Cfi9Q4q17tDrs9YFzW,307493,4
Hey Señorita,Big Sandy,29,0.727,0.665,7,-7.278,1,0.0413,0.67,0.0,0.11,0.96,135.354,audio_features,6CMDUEtmE7oMea4hBkk57l,spotify:track:6CMDUEtmE7oMea4hBkk57l,https://api.spotify.com/v1/tracks/6CMDUEtmE7oMea4hBkk57l,https://api.spotify.com/v1/audio-analysis/6CMDUEtmE7oMea4hBkk57l,135147,4
Oak Tree,Alien Fashion Show,29,0.35,0.685,1,-6.207,1,0.0386,0.0498,0.139,0.35,0.495,99.868,audio_features,6vpZcGzUsskAQg6ZerKDu9,spotify:track:6vpZcGzUsskAQg6ZerKDu9,https://api.spotify.com/v1/tracks/6vpZcGzUsskAQg6ZerKDu9,https://api.spotify.com/v1/audio-analysis/6vpZcGzUsskAQg6ZerKDu9,268962,3
Oo Poppa Do,Lavay Smith & Her Red Hot Skillet Lickers,29,0.547,0.408,1,-8.048,1,0.0577,0.815,9.75e-06,0.109,0.791,159.941,audio_features,6RTsr8eiHVhCYxqbYFs0eX,spotify:track:6RTsr8eiHVhCYxqbYFs0eX,https://api.spotify.com/v1/tracks/6RTsr8eiHVhCYxqbYFs0eX,https://api.spotify.com/v1/audio-analysis/6RTsr8eiHVhCYxqbYFs0eX,193453,4
Planet Jive,The Jive Aces,29,0.665,0.809,2,-6.707,1,0.213,0.196,0.0,0.0681,0.706,150.11,audio_features,0P5aqi6J8btRUjZQKnVOst,spotify:track:0P5aqi6J8btRUjZQKnVOst,https://api.spotify.com/v1/tracks/0P5aqi6J8btRUjZQKnVOst,https://api.spotify.com/v1/audio-analysis/0P5aqi6J8btRUjZQKnVOst,232600,4
Swingin' At The Savoy,Mitch Woods and His Rocket 88‘S,29,0.635,0.739,4,-6.414,0,0.13,0.0329,8.36e-05,0.127,0.471,92.265,audio_features,4tQxGAafxVZ0Oqt3D6efmb,spotify:track:4tQxGAafxVZ0Oqt3D6efmb,https://api.spotify.com/v1/tracks/4tQxGAafxVZ0Oqt3D6efmb,https://api.spotify.com/v1/audio-analysis/4tQxGAafxVZ0Oqt3D6efmb,217373,4
