song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
Bust Your Windows,Jazmine Sullivan,64,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,audio_features,56z2qI0gKcPthQF6l8AW3E,spotify:track:56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/tracks/56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/audio-analysis/56z2qI0gKcPthQF6l8AW3E,266307,4,
Earned It (Fifty Shades Of Grey),The Weeknd,76,0.659,0.291,2,-8.275,0,0.0348,0.405,0,0.0771,0.406,119.829,audio_features,4frLb7nWtsz2ymBE6k2GRP,spotify:track:4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/tracks/4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/audio-analysis/4frLb7nWtsz2ymBE6k2GRP,277680,3,
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,73,0.566,0.748,8,-6.549,1,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,audio_features,1fTDYdx5zYfWJSX0JlKO8o,spotify:track:1fTDYdx5zYfWJSX0JlKO8o,https://api.spotify.com/v1/tracks/1fTDYdx5zYfWJSX0JlKO8o,https://api.spotify.com/v1/audio-analysis/1fTDYdx5zYfWJSX0JlKO8o,258133,4,
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,72,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005,audio_features,25U7raB3ZSszayTYClh4hF,spotify:track:25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/tracks/25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/audio-analysis/25U7raB3ZSszayTYClh4hF,308027,4,
Something in the Orange - Z&E's Version,Zach Bryan,70,0.594,0.382,7,-5.432,1,0.0292,0.416,0,0.117,0.223,110.237,audio_features,7lNmcW2wW6ciV9Rhh8YOMe,spotify:track:7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/tracks/7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/audio-analysis/7lNmcW2wW6ciV9Rhh8YOMe,254258,4,
What My World Spins Around,Jordan Davis,79,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,audio_features,6HBRLaSQ7NB8MNlaqzYen1,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791,4,
What My World Spins Around,Jordan Davis,79,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,audio_features,6HBRLaSQ7NB8MNlaqzYen1,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791,4,
Tennessee Orange,Megan Moroney,78,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,audio_features,29zZmiBDLykYYTj7RN6VhV,spotify:track:29zZmiBDLykYYTj7RN6VhV,https://api.spotify.com/v1/tracks/29zZmiBDLykYYTj7RN6VhV,https://api.spotify.com/v1/audio-analysis/29zZmiBDLykYYTj7RN6VhV,223120,3,
Bad Habit,Steve Lacy,92,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115,4,
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,90,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,audio_features,0hquQWY3xvYqN4qtiquniF,spotify:track:0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/audio-analysis/0hquQWY3xvYqN4qtiquniF,182907,4,
Way of the Triune God - Hallelujah Version,Tyler Childers,64,0.696,0.583,10,-6.384,1,0.0307,0.629,0,0.123,0.543,79.057,audio_features,2BJy4svtrGACqRB5BFLOK6,spotify:track:2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/tracks/2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/audio-analysis/2BJy4svtrGACqRB5BFLOK6,208813,4,
This Is Halloween,The Citizens of Halloween,72,0.569,0.508,7,-12.823,1,0.0502,0.768,0,0.145,0.647,167.624,audio_features,01YROQCnF1AQm7SCWJmD2o,spotify:track:01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/tracks/01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/audio-analysis/01YROQCnF1AQm7SCWJmD2o,196560,4,
