song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
TRUCK BED,HARDY,58,0.662,0.77,0.0,-4.887,1.0,0.0367,0.0875,0.0,0.35,0.769,132.057,audio_features,73NzYbpaYvQ7JfpjztFESL,spotify:track:73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/tracks/73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/audio-analysis/73NzYbpaYvQ7JfpjztFESL,167535.0,4.0
Rock and A Hard Place,Bailey Zimmerman,84,0.582,0.568,1.0,-7.3,1.0,0.0275,0.577,0.0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541.0,3.0
Victoria’s Secret,Jax,83,0.586,0.556,6.0,-7.639,1.0,0.0592,0.00655,0.0,0.0836,0.517,167.018,audio_features,4svaKoxMMP7ImmKrD5hfQu,spotify:track:4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/tracks/4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/audio-analysis/4svaKoxMMP7ImmKrD5hfQu,176125.0,4.0
Soul,Lee Brice,78,0.789,0.642,11.0,-8.304,1.0,0.0352,0.357,0.0,0.0985,0.755,121.003,audio_features,3vCUelLOtiuNF78p9LNWZF,spotify:track:3vCUelLOtiuNF78p9LNWZF,https://api.spotify.com/v1/tracks/3vCUelLOtiuNF78p9LNWZF,https://api.spotify.com/v1/audio-analysis/3vCUelLOtiuNF78p9LNWZF,167680.0,4.0
Next Thing You Know,Jordan Davis,75,0.557,0.597,5.0,-8.296,1.0,0.048,0.646,0.0,0.0974,0.414,78.526,audio_features,2lNTHWu2I5Tcz9ukWsV5Jj,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/tracks/2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/audio-analysis/2lNTHWu2I5Tcz9ukWsV5Jj,175238.0,4.0
Bust Your Windows,Jazmine Sullivan,64,0.683,0.664,5.0,-4.233,0.0,0.0332,0.538,0.0,0.0671,0.866,106.991,audio_features,56z2qI0gKcPthQF6l8AW3E,spotify:track:56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/tracks/56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/audio-analysis/56z2qI0gKcPthQF6l8AW3E,266307.0,4.0
here lies country music,HARDY,54,0.322,0.669,7.0,-4.764,1.0,0.0298,0.308,0.0,0.101,0.17,70.36,audio_features,4I3OejPxtFzZK7HGCXhVSu,spotify:track:4I3OejPxtFzZK7HGCXhVSu,https://api.spotify.com/v1/tracks/4I3OejPxtFzZK7HGCXhVSu,https://api.spotify.com/v1/audio-analysis/4I3OejPxtFzZK7HGCXhVSu,221000.0,4.0
Earned It (Fifty Shades Of Grey),The Weeknd,76,0.659,0.291,2.0,-8.275,0.0,0.0348,0.405,0.0,0.0771,0.406,119.829,audio_features,4frLb7nWtsz2ymBE6k2GRP,spotify:track:4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/tracks/4frLb7nWtsz2ymBE6k2GRP,https://api.spotify.com/v1/audio-analysis/4frLb7nWtsz2ymBE6k2GRP,277680.0,3.0
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,73,0.566,0.748,8.0,-6.549,1.0,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,audio_features,1fTDYdx5zYfWJSX0JlKO8o,spotify:track:1fTDYdx5zYfWJSX0JlKO8o,https://api.spotify.com/v1/tracks/1fTDYdx5zYfWJSX0JlKO8o,https://api.spotify.com/v1/audio-analysis/1fTDYdx5zYfWJSX0JlKO8o,258133.0,4.0
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,72,0.663,0.168,0.0,-13.725,1.0,0.0448,0.928,5.68e-05,0.361,0.678,85.005,audio_features,25U7raB3ZSszayTYClh4hF,spotify:track:25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/tracks/25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/audio-analysis/25U7raB3ZSszayTYClh4hF,308027.0,4.0
